"","Center_Year_Test","Center_Year_Base","Test_Val","Base_Val","Mean Slope (CFU/100mL/decade)","% Change Per Decade"
"0311",2017.5,1983.5,33.2083333333333,136.7825,-30.4629901960784,-22.2711166970032
"0317",2016.5,1983.5,189.625,685.333333333333,-150.214646464646,-21.9184795425068
"0321",2016.5,1989.5,44.25,46.8,-0.944444444444443,-2.01804368471035
"0322",2016.5,1983.5,74.875,319,-73.9772727272727,-23.1903676261043
"0430",2016.5,1983.5,175.5,442,-80.7575757575758,-18.270944741533
"0434",2016.5,1983.5,240.4375,623.6,-116.109848484848,-18.6192829513869
"0438",2016.5,1991.9,29.9375,99.1041666666667,-28.1165311653118,-28.3706852204113
"0440",2016.5,1983.5,49.5625,103.15,-16.2386363636364,-15.7427400519984
"0442",2016.5,1983.5,41.5625,65.4,-7.22348484848485,-11.0450838661848
"0444",2016.5,1983.5,39.65625,268.45,-69.3314393939394,-25.8265745553881
"0446",2016.5,1983.5,223.059523809524,396.4,-52.527417027417,-13.2511142854231
"0470",2016.5,1983.5,116.3125,267,-45.6628787878788,-17.102201793213
"0474",2016.5,1983.5,408.75,460.65,-15.7272727272727,-3.41414799246124
"0478",2016.5,1983.5,93.125,221.3,-38.8409090909091,-17.5512467649838
"0484",2016.5,1983.5,65.6875,659.975,-180.087121212121,-27.2869610533916
"0486",2016.5,1983.5,12,31.675,-5.96212121212121,-18.8227978283227
"0631",2016.5,1983.5,56.375,130.45,-22.4469696969697,-17.2073359118204
"0632",2017.5,1983.5,50.9166666666667,122.85,-21.156862745098,-17.2217034962133
"A315",2016.5,1983.5,82.5,755.65,-203.984848484848,-26.9946203248658
"A319",2017.5,1983.5,20,37.475,-5.13970588235294,-13.7150257034101
"A320",2016.5,1983.5,42.5,57.05,-4.40909090909091,-7.72846785116724
"A432",2016.5,1983.5,107.96875,261,-46.3731060606061,-17.7674735864391
"A438",2017.5,1983.5,6.58333333333333,29.375,-6.70343137254902,-22.8201919065499
"A456",2016.5,1983.5,62.5625,323,-78.9204545454545,-24.4335772586547
"A499",2017.5,1983.5,24.6666666666667,35.5,-3.18627450980392,-8.97542115437724
"A617",2016.5,1999.5,62.8125,156.191666666667,-54.9289215686275,-35.1676390558357
"A620",2016.5,2000.5,178.084375,479.691666666667,-188.504557291667,-39.2970256501572
"A630",2016.5,1983.5,90.5625,191.55,-30.6022727272727,-15.9761277615624
"A631",2016.5,1983.5,41,81.75,-12.3484848484848,-15.1051802427949
"A680",2016.5,1997.9,54.1875,103.5,-26.5120967741937,-25.6155524388345
"A685",2016.5,2000.5,15.625,50.425,-21.75,-43.1333663857214
"A690",2017.5,1997.9,23.5833333333333,27.9708333333333,-2.23852040816328,-8.00305225620716
"B319",2016.5,1983.5,6.96875,8.9,-0.585227272727273,-6.5755873340143
"B484",2016.5,1983.5,34.3125,187.5,-46.4204545454545,-24.7575757575758
"BB470",2017.5,2004,71.7083333333333,121.472222222222,-36.8621399176955,-30.3461476569183
"C320",2016.5,1983.5,20.5,26.15,-1.71212121212121,-6.54730865055913
"C370",2016.5,1989.5,159.375,417,-95.4166666666667,-22.8816946442846
"C484",2016.5,1983.5,81.5625,289.5,-63.0113636363636,-21.7655832940807
"D320",2016.5,1983.5,24.5625,58.75,-10.3598484848485,-17.6337846550612
"D474",2017.5,1998.7,86.6666666666667,157.675,-37.7703900709221,-23.9545838407624
"F321",2016.5,1997.5,7.25,6.675,0.302631578947369,4.53380642617781
"G320",2016.5,1983.5,60.125,441.35,-115.522727272727,-26.1748560717633
"KSHZ06",2016.5,1992.5,104.625,256.25,-63.1770833333333,-24.6544715447154
"KTHA01",2016.5,1983.5,83.40625,154.683333333333,-21.5991161616162,-13.963441112994
"KTHA02",2017.5,1991.5,111.75,265.453333333333,-59.1166666666667,-22.2700788588076
"KTHA03",2016.5,1992.5,20.375,81.65,-25.53125,-31.2691365584813
"N484",2016.5,1983.5,50.1666666666667,166.3,-35.1919191919192,-21.161707271148
"S478",2017.5,2005.5,31.3333333333333,65.7083333333333,-28.6458333333333,-43.5954343690552
"S484",2017.5,1986.5,9.66666666666667,124.9,-37.1720430107527,-29.7614435634529
"VA42A",2016.5,2009.5,89.25,85.4166666666667,5.47619047619047,6.41114982578396
